symbol,sector,total_assets,total_liabilities,total_equity,net_revenue,nonhalal_revenue_percent,net_income,operating_cash_flow,interest_expense,debt_to_equity,debt_to_assets,roe,roa,profit_margin,interest_coverage,cash_flow_to_debt,f_riba,f_nonhalal,riba_intensity,sector_encoded
BKDP,Other,769929520139.75,339167544591.75,430761975548.0,25051948694.25,0.0,-33719496473.25,0.0,3137068984.5,0.7873664897192311,0.44051765222638517,-0.07827872093481153,-0.043795562569323966,-1.3459829766053044,-10.7487264831775,0.0,0.44051765222638517,0.0,0.1252225534542959,13
BKSL,Other,17908714364802.25,6358603711868.75,11550110652933.5,938888850254.25,0.0,-44542408937.75,0.0,303601342963.25,0.5505231857024495,0.3550564033991148,-0.0038564486762243362,-0.002487191879350846,-0.04744162093914308,-0.14671347795435055,0.0,0.3550564033991148,0.0,0.3233623904267636,13
BLTA,Other,77678531.5,38133852.75,39544678.75,25815012.75,0.0,7547543.5,0.0,661737.25,0.9643232403295313,0.490918816481425,0.1908611661182882,0.0971638283352335,0.2923703185076706,11.405650052019807,0.0,0.490918816481425,0.0,0.02563381457170668,13
BMHS,Other,2770509415182.25,1144302410431.25,1626207004751.0,1546457513013.0,0.0,102876403861.75,0.0,36813924528.75,0.7036634371197179,0.4130296053716805,0.0632615672919833,0.03713266711818143,0.06652391222912646,2.79449705997545,0.0,0.4130296053716805,0.0,0.023805325538510627,13
BMSR,Other,1197449291377.75,711427322719.25,486021968658.5,3649287351277.5,0.0,182107009160.5,0.0,30397783697.75,1.463776060746607,0.5941189558855579,0.37468884310547745,0.1520790988576836,0.049902074468526056,5.990798900709963,0.0,0.5941189558855579,0.0,0.00832978627652018,13
BMTR,Other,34093968000000.0,10323520000000.0,23770448000000.0,12758077000000.0,0.0,1159745666666.6667,0.0,655046000000.0,0.4343006072077396,0.30279608404630404,0.04878939036683982,0.03401615402075425,0.09090285837486846,1.7704797322121908,0.0,0.30279608404630404,0.0,0.05134363117576418,13
BNBR,Other,13440825500000.0,11708796250000.0,1732029250000.0,3058651000000.0,0.0,-90546250000.0,0.0,53002500000.0,6.760160805598404,0.8711366909718454,-0.052277552472049765,-0.006736658399441314,-0.02960332839542661,-1.7083392292816375,0.0,0.8711366909718454,0.0,0.017328717790947707,13
BOLA,Other,727394726197.75,70818358250.25,656576367947.5,246137739220.0,0.0,50290701053.5,0.0,1158896208.75,0.10786004752445287,0.09735891078071589,0.0765953566234983,0.06913811613177401,0.20431934254726272,43.39534522055581,0.0,0.09735891078071589,0.0,0.004708323934486815,13
BOLT,Other,1297589218630.3333,508793876609.3333,788795342021.0,1128581217658.0,0.0,30293612716.666668,0.0,25207168287.0,0.645026472019643,0.3921070469022464,0.038404908222518595,0.023346073072835028,0.02684220882173737,1.2017856338226562,0.0,0.3921070469022464,0.0,0.02233527183742186,13
BOSS,Other,640636282481.3334,650643756944.3334,-10007474463.0,223553462367.3333,0.0,-77540645558.33333,0.0,18324187799.33333,-65.01577989031277,1.015621148437361,7.7482731377451435,-0.12103692481793314,-0.3468550419090442,-4.231600680339806,0.0,1.015621148437361,0.0,0.08196781031833818,13
BPII,Other,3301003170677.0,1818621820432.5,1482381350244.5,853274887475.5,0.0,233779096202.75,0.0,79557301047.75,1.2268245415611452,0.550930043505387,0.15770509806008495,0.07082062152482102,0.27397864349952816,2.9384995861339815,0.0,0.550930043505387,0.0,0.09323759812400939,13
BRAM,Other,285873847.0,69160187.0,216713660.0,253863840.75,0.0,17094687.0,0.0,1022913.5,0.31913164587777626,0.2419255476699748,0.07888144660562334,0.05979800943455804,0.06733801454155824,16.711762040321965,0.0,0.2419255476699748,0.0,0.004029378492730299,13
BREN,Other,3419038250.0,2691720000.0,727318250.0,555680500.0,0.0,87086250.0,0.0,95931750.0,3.7008833478328955,0.7872740236234538,0.11973609901855041,0.025470978571239953,0.15672000367117153,0.9077938221703546,0.0,0.7872740236234538,0.0,0.17263832364101003,13
BRMS,Other,882940516.3333334,109123969.66666669,773816546.6666666,10188796.0,0.0,28910438.0,0.0,27837.0,0.14102046555702835,0.12359153040097694,0.0373608423398747,0.032743358658019965,2.8374734365053165,1038.5615543921538,0.0,0.12359153040097694,0.0,0.0027321186919409004,13
BRNA,Other,1952106155333.3333,1173220131333.3333,778886024000.0,1076011502000.0,0.0,-162633409666.66666,0.0,79692559000.0,1.5062796034113115,0.6010022191303419,-0.20880257785530204,-0.08331176520412953,-0.15114467583699367,-2.0407602881301203,0.0,0.6010022191303419,0.0,0.07406292484037034,13
BRPT,Other,9082246500.0,5315278500.0,3766968000.0,2802929250.0,0.0,44840750.0,0.0,214580500.0,1.4110230031154993,0.5852382997973017,0.011903671600077272,0.004937187071502623,0.015997817283472226,0.2089693611488365,0.0,0.5852382997973017,0.0,0.07655580318340152,13
BSBK,Other,2064818561372.25,974495007249.0,1090323554123.25,250165590532.25,0.0,199335846390.5,0.0,52565703927.5,0.8937668122125547,0.4719518825912549,0.18282265446497648,0.09653915850990033,0.7968156050813978,3.7921274043134514,0.0,0.4719518825912549,0.0,0.21012363776993348,13
BSDE,Other,63539922679896.5,26136962224606.75,37402960455289.75,8902503135731.75,0.0,1502234568374.0,0.0,1633308530846.0,0.6987939432187461,0.41134708892046334,0.04016352048308371,0.023642373251569825,0.16874294178504912,0.9197494166003602,0.0,0.41134708892046334,0.0,0.18346621236115393,13
BSSR,Other,377986725.5,151499232.5,226487493.0,796547255.0,0.0,159462195.25,0.0,604441.25,0.668907719774148,0.4008056957545087,0.7040662296085063,0.42187247459301525,0.20019175792652502,263.81752609928895,0.0,0.4008056957545087,0.0,0.0007588266059619934,13
